Frame,A1nnROI1,A1nnROI2,A1nnROI3,A1nnROI4,A1nnROI5,A1nnROI6,A1nnROI7,A1nnROI8,A1nnROI9,A1nnROI10,A1nnROI11,A1nnROI12,A1nnROI13,A1nnROI14,A1nnROI15,A2mnROI1,A2mnROI2,A2mnROI3,A2mnROI4,A2mnROI5,A2mnROI6,A2mnROI7,A2mnROI8,A2mnROI9,A2mnROI10,A2mnROI11,A2mnROI12,A2mnROI13,A2mnROI14,A2mnROI15,A2mnROI16,E1niROI1,E1niROI2,E1niROI3,E1niROI4,E1niROI5,E1niROI6,E1niROI7,E1niROI8,E1niROI9,E1niROI10,E1niROI11,E1niROI12,E1niROI13,E1niROI14,E1niROI15,E2miROI1,E2miROI2,E2miROI3,E2miROI4,E2miROI5,E2miROI6,E2miROI7,E2miROI8,E2miROI9,E2miROI10,E2miROI11,E2miROI12,E2miROI13,E2miROI14,E2miROI15
11,0.941150245,0.939849624,0.965074779,0.934355635,0.96770626,0.936160593,0.95379653,0.932984293,0.943143259,0.949250552,0.967479675,0.935068238,0.941882876,0.951278865,0.975663717,1.245265397,1.292502245,1.112903226,1.333333333,1.195065113,1.163799686,1.076666667,1.210526316,1.146454545,1.117283951,1.14392714,1.094720849,1.035805627,1.138715049,1.050896552,1.258770382,1.58204324,1.676514898,1.721681961,1.490612072,1.568945898,1.574123457,1.668779221,1.11037519,1.698529412,1.750015306,1.559312554,1.91348433,1.744897959,1.611111111,1.306795348,1.026570048,1.077378889,1.102702703,1.180611738,1.269181955,1.18487395,1.240785533,1.095493309,1.464353046,1.083333333,1.257462687,1.122842105,1.034883721,1.010309278,1.011173184
12,0.941150245,0.95112782,0.954452753,0.934355635,0.949236894,0.909575911,0.917879871,0.909454881,0.944881238,0.938370235,0.951219512,0.924472323,0.937509266,0.943150047,0.973451327,1.50941732,1.550957797,1.306451613,1.68,1.460452365,1.438535819,1.16,1.339181287,1.318181818,1.216049383,1.399957803,1.234772552,1.179028133,1.382729517,1.087034483,1.458812734,1.780361671,2.040090392,2.078071497,1.837594144,1.732698872,1.839506173,1.990233766,1.383098921,2.064338235,2.086756873,1.83047745,2.267447985,2.076530612,1.844444444,1.436765512,1.154589372,1.28653828,1.47027027,1.722588887,1.903772932,1.549019608,1.670122092,1.376377794,2.061272078,1.416666667,1.906716418,1.561368421,1.189922481,1.12371134,1.089385475
13,0.931899242,0.939849624,0.975696805,0.91460981,0.935412519,0.941495614,0.917879871,0.916661534,0.937929322,0.945674504,0.975609756,0.949648216,0.947664937,0.93398571,0.944690265,1.665075494,1.755088297,1.467741935,1.786666667,1.564130683,1.618189984,1.246666667,1.34502924,1.328272727,1.358024691,1.547225543,1.439316976,1.281329923,1.50238273,1.10837931,1.51761135,1.856365942,2.15776699,2.269552116,1.970192002,1.870590669,1.972246914,2.133090909,1.422059454,2.213235294,2.206698096,1.932170641,2.44021596,2.198979592,1.908888889,1.511721366,1.248792271,1.447000977,1.794594595,2.070967284,2.192223376,1.739495798,1.963314904,1.561768969,2.093818218,1.583333333,2.119402985,1.701789474,1.294573643,1.319587629,1.17877095
14,0.953633527,0.977443609,0.974209721,0.940867556,0.953881885,0.952075233,0.948653125,0.934770557,0.939667301,0.951076619,0.959349593,0.932440451,0.940400297,0.930930931,0.960176991,1.721683184,1.836650703,1.5,1.84,1.602787297,1.630092073,1.266666667,1.380116959,1.363636364,1.401234568,1.581299669,1.52068121,1.322250639,1.507148189,1.119862069,1.564692595,1.886026958,2.192668229,2.300461124,2.002227644,1.896451846,1.990716049,2.100675325,1.480500253,2.246323529,2.280658789,1.915238725,2.510205425,2.280612245,1.957777778,1.548011934,1.31884058,1.532953005,1.92972973,2.103186431,2.365293643,1.789915966,1.984277816,1.606734756,2.091486406,1.638888889,2.141791045,1.807052632,1.34496124,1.340206186,1.251396648
15,1.244650022,1.398496241,1.139573419,1.186009873,1.308670648,1.420200741,1.446081423,1.39131506,1.189687991,1.204671688,1.390243902,1.158938713,1.207857672,1.193900797,1.10840708,1.745239454,1.809488177,1.508064516,1.88,1.648480695,1.655198742,1.28,1.374269006,1.333333333,1.450617284,1.598881778,1.560252166,1.322250639,1.516736522,1.130534483,1.552904638,1.913819565,2.212713425,2.303428754,1.994483929,1.93958829,1.996938272,2.084363636,1.480500253,2.248161765,2.278087308,1.991508618,2.514353437,2.285714286,1.933333333,1.565578761,1.306763285,1.584549437,2.005405405,2.103186431,2.365293643,1.775910364,2.005183138,1.612330199,2.087616591,1.680555556,2.126865672,1.771894737,1.368217054,1.371134021,1.268156425
16,1.424208649,1.541353383,1.241247451,1.336939397,1.516036275,1.579799259,1.599947694,1.563412381,1.351733841,1.400365213,1.617886179,1.331101127,1.377909563,1.364450658,1.25,1.773569242,1.877506735,1.556451613,1.853333333,1.630888737,1.661801033,1.3,1.350877193,1.363636364,1.481481481,1.614248541,1.566034741,1.358056266,1.516736522,1.134655172,1.588197925,1.922160683,2.222296619,2.312240332,1.979031859,1.887865936,1.969185185,2.097454545,1.467526396,2.283088235,2.2526174,1.983017237,2.48551488,2.295918367,1.968888889,1.573768495,1.355072464,1.561603681,2,2.135476545,2.403715242,1.781512605,1.989460954,1.601105606,2.076776146,1.638888889,2.074626866,1.771894737,1.410852713,1.371134021,1.268156425
17,1.520173874,1.593984962,1.300433379,1.411406365,1.589803141,1.643548241,1.676837242,1.650384971,1.39832823,1.518070456,1.691056911,1.463592439,1.5,1.473076525,1.307522124,1.768847611,1.863888057,1.564516129,1.906666667,1.657253827,1.686907703,1.316666667,1.356725146,1.353545455,1.475308642,1.61315845,1.586489183,1.393861893,1.52626744,1.137931034,1.564692595,1.921226478,2.207482424,2.276902707,1.975708073,1.887865936,1.953679012,2.103896104,1.435033311,2.268382353,2.303618441,2.008440535,2.48551488,2.316326531,1.942222222,1.572611581,1.357487923,1.573076559,2.016216216,2.109644454,2.269181955,1.775910364,1.99994241,1.606734756,2.070574519,1.666666667,2.055970149,1.824526316,1.399224806,1.381443299,1.251396648
18,1.551159162,1.560150376,1.311055404,1.43545846,1.617451891,1.632968623,1.661494203,1.657653218,1.415542498,1.547059271,1.699186992,1.480800203,1.50726464,1.488298643,1.314159292,1.764125979,1.877506735,1.556451613,1.866666667,1.644962303,1.672355715,1.27,1.374269006,1.353545455,1.469135802,1.599971869,1.579368679,1.363171355,1.516736522,1.128896552,1.552904638,1.926798345,2.22752762,2.263662512,1.970192002,1.956863556,1.990716049,2.077922078,1.448046129,2.277573529,2.308700178,1.983017237,2.501975244,2.326530612,1.977777778,1.585489862,1.369565217,1.610331894,2.07027027,2.129018522,2.307603554,1.789915966,1.99994241,1.601105606,2.060478269,1.680555556,2.03358209,1.807052632,1.414728682,1.371134021,1.279329609
19,1.513932234,1.563909774,1.312584976,1.43325281,1.594448131,1.606383941,1.630720948,1.655805359,1.42762559,1.538005022,1.731707317,1.509875392,1.530541142,1.491353422,1.318584071,1.783012505,1.884316073,1.540322581,1.88,1.648480695,1.659151134,1.28,1.333333333,1.323242424,1.462962963,1.592270905,1.570025852,1.360613811,1.507148189,1.139568966,1.552904638,1.945348992,2.218823234,2.269552116,1.993387787,1.887865936,1.990716049,2.025974026,1.435033311,2.251838235,2.262780873,1.983017237,2.510205425,2.301020408,1.973333333,1.588991049,1.38647343,1.590285876,2.054054054,2.1225605,2.230644975,1.75070028,1.937111265,1.550544376,2.036465569,1.625,1.97761194,1.754421053,1.406976744,1.360824742,1.251396648
20,1.520173874,1.511278195,1.332299456,1.43325281,1.626631276,1.579799259,1.620434138,1.643116723,1.42762559,1.54530929,1.715447154,1.507247605,1.523276501,1.487263125,1.318584071,1.768847611,1.843460042,1.548387097,1.8,1.644962303,1.641994161,1.306666667,1.321637427,1.292939394,1.469135802,1.584569942,1.550024944,1.360613811,1.468852271,1.135465517,1.576409967,1.931436007,2.19789923,2.265123499,1.979031859,1.879280025,1.966024691,2.032415584,1.448046129,2.237132353,2.255127656,1.966085321,2.48959705,2.316326531,1.971111111,1.593679596,1.403381643,1.561603681,2.005405405,2.141934568,2.153801777,1.725490196,1.869096982,1.556173526,1.98685255,1.569444444,1.917910448,1.736842105,1.356589147,1.319587629,1.251396648
21,1.495430227,1.481203008,1.317131203,1.422329587,1.603627516,1.595713898,1.589660884,1.603264552,1.401804188,1.538005022,1.699186992,1.498007968,1.514529281,1.481205343,1.316371681,1.759404348,1.85026938,1.556451613,1.826666667,1.630888737,1.63804177,1.28,1.315789474,1.303030303,1.50617284,1.572508615,1.537121865,1.350383632,1.483206063,1.139568966,1.505823392,1.947184038,2.179569802,2.262155869,1.963544429,1.879280025,1.975308642,2.038961039,1.409085596,2.224264706,2.250045919,1.974525855,2.493745062,2.285714286,1.944444444,1.600712416,1.381642512,1.578812998,1.983783784,2.090341353,2.115264798,1.62745098,1.753916148,1.47190481,1.921735463,1.5,1.824626866,1.684210526,1.337209302,1.319587629,1.262569832
22,1.523294695,1.466165414,1.329282801,1.411406365,1.562154391,1.553124152,1.538401186,1.587003388,1.400066209,1.550711405,1.739837398,1.491396118,1.51749444,1.469038004,1.307522124,1.754682717,1.843460042,1.540322581,1.84,1.629152387,1.60368291,1.323333333,1.32748538,1.308090909,1.481481481,1.558196779,1.520227675,1.347826087,1.473675145,1.119862069,1.51761135,1.93884292,2.165634416,2.27247409,1.979031859,1.82755767,1.969185185,2.006441558,1.435033311,2.176470588,2.222004531,1.983017237,2.469054517,2.270408163,1.975555556,1.611246423,1.384057971,1.57020834,1.935135135,2.032219147,2.096111688,1.593837535,1.743434692,1.477500253,1.865920818,1.444444444,1.791044776,1.736842105,1.321705426,1.278350515,1.223463687
23,1.479937584,1.454887218,1.283735554,1.426635858,1.566799381,1.537209513,1.53325778,1.567046504,1.38276918,1.534428974,1.731707317,1.459608375,1.49710897,1.458838148,1.303097345,1.740517823,1.829916193,1.516129032,1.746666667,1.616860864,1.620839883,1.286666667,1.298245614,1.313121212,1.475308642,1.559322034,1.5144451,1.340153453,1.473675145,1.130534483,1.458812734,1.937007874,2.140358219,2.257772908,1.970192002,1.870590669,1.953679012,2,1.415553045,2.189338235,2.214351313,1.957593939,2.444363972,2.280612245,1.951111111,1.586646776,1.391304348,1.555898761,1.924324324,2,2.076843198,1.571428571,1.738193965,1.46627566,1.797702917,1.430555556,1.764925373,1.631578947,1.294573643,1.257731959,1.240223464
24,1.470575123,1.417293233,1.29435758,1.367608444,1.520681265,1.494619767,1.528114375,1.534462581,1.372424067,1.550711405,1.691056911,1.472832076,1.494217939,1.471057264,1.28539823,1.735848078,1.836650703,1.524193548,1.813333333,1.618597213,1.60368291,1.31,1.292397661,1.308090909,1.462962963,1.541739925,1.49621298,1.329923274,1.464086812,1.118224138,1.458812734,1.946249833,2.131653833,2.244487057,1.975708073,1.810282404,1.959901235,1.977246753,1.428565863,2.137867647,2.227086267,1.898255962,2.44021596,2.260204082,1.946666667,1.599525056,1.391304348,1.553030542,1.935135135,1.993541977,2.057574709,1.582633053,1.717231053,1.449421917,1.769795594,1.472222222,1.73880597,1.543894737,1.313953488,1.226804124,1.206703911
25,1.452073116,1.398496241,1.29435758,1.382942968,1.51150188,1.436115381,1.497341121,1.512719433,1.355209799,1.523548657,1.715447154,1.454268034,1.481097109,1.437558248,1.307522124,1.749961085,1.823106854,1.516129032,1.76,1.613342472,1.593128228,1.303333333,1.286549708,1.267666667,1.450617284,1.517546944,1.489115153,1.301790281,1.401906184,1.119051724,1.470530105,1.932370212,2.114203214,2.253344291,1.959124501,1.844729492,1.969185185,1.970805195,1.428565863,2.152573529,2.183738444,1.889815427,2.444363972,2.280612245,1.922222222,1.60186933,1.388888889,1.555898761,1.940540541,1.948406784,2.038421599,1.571428571,1.685844276,1.42134358,1.724052391,1.444444444,1.720149254,1.631578947,1.310077519,1.24742268,1.189944134
26,1.439701293,1.383458647,1.279189327,1.387249239,1.50685689,1.441450402,1.430738384,1.490976286,1.356947778,1.530776839,1.707317073,1.456980588,1.476797628,1.434503469,1.289823009,1.716961552,1.816297516,1.491935484,1.76,1.604523646,1.583876039,1.286666667,1.257309942,1.262636364,1.518518519,1.486778254,1.469545104,1.31202046,1.411437102,1.127258621,1.411731489,1.947184038,2.092400402,2.241565082,1.955800714,1.853418848,1.987654321,1.94161039,1.402579187,2.141544118,2.199044878,1.915238725,2.386752699,2.260204082,1.931111111,1.619436157,1.381642512,1.521511646,1.924324324,1.961251863,2.019153109,1.56022409,1.701508869,1.438197324,1.689174439,1.486111111,1.675373134,1.578947368,1.321705426,1.24742268,1.195530726
27,1.436580473,1.357142857,1.270096873,1.358890873,1.493032515,1.41486572,1.440938018,1.465599014,1.355209799,1.514494408,1.682926829,1.429092142,1.449147517,1.418245832,1.272123894,1.731126446,1.836650703,1.491935484,1.773333333,1.592232122,1.578576241,1.29,1.233918129,1.272727273,1.49382716,1.487868345,1.454873237,1.304347826,1.440144686,1.123965517,1.458812734,1.939777125,2.09327921,2.241565082,1.952512287,1.853418848,1.950617284,1.948051948,1.38960533,2.136029412,2.155635829,1.915238725,2.39083487,2.255102041,1.933333333,1.596023869,1.396135266,1.538689444,1.935135135,1.948406784,1.961463021,1.56022409,1.64915918,1.432568173,1.655065489,1.375,1.679104478,1.561368421,1.286821705,1.268041237,1.201117318
28,1.371600535,1.360902256,1.273113528,1.369814095,1.497677505,1.393616059,1.399965129,1.451124115,1.334519573,1.519896523,1.682926829,1.447656184,1.434618236,1.415191053,1.276548673,1.721683184,1.789060162,1.508064516,1.76,1.579940599,1.561419268,1.253333333,1.263157895,1.237363636,1.487654321,1.485688164,1.440632228,1.296675192,1.39231785,1.107551724,1.411731489,1.926798345,2.078465015,2.226818244,1.948092359,1.844729492,1.938271605,1.928519481,1.435033311,2.110294118,2.160778791,1.906747343,2.399130893,2.239795918,1.944444444,1.60186933,1.38647343,1.524379866,1.902702703,1.909658647,1.99988462,1.537815126,1.654399908,1.398860687,1.631796984,1.416666667,1.656716418,1.561368421,1.263565891,1.237113402,1.195530726
29,1.408716005,1.330827068,1.253399048,1.343556349,1.442380004,1.409530699,1.410164763,1.420326455,1.344864686,1.496385909,1.682926829,1.413240654,1.424462565,1.390856374,1.269911504,1.712239921,1.836650703,1.5,1.733333333,1.581676948,1.557421963,1.276666667,1.228070175,1.237363636,1.462962963,1.468106055,1.433080865,1.294117647,1.382729517,1.119862069,1.376438201,1.940711331,2.055783395,2.247454687,1.930412645,1.844729492,1.935209877,1.931844156,1.422059454,2.077205882,2.132676177,1.949102558,2.370292336,2.25,1.915555556,1.600712416,1.367149758,1.518643427,1.924324324,1.890284579,2.019153109,1.546218487,1.64915918,1.41008528,1.603120659,1.444444444,1.645522388,1.596526316,1.294573643,1.257731959,1.156424581
30,1.396344182,1.296992481,1.257945275,1.354479571,1.460738775,1.351026313,1.394821724,1.404003696,1.320698502,1.501788024,1.691056911,1.418496228,1.428836175,1.386766076,1.258849558,1.731126446,1.789060162,1.524193548,1.733333333,1.597532557,1.557421963,1.286666667,1.216374269,1.252515152,1.487654321,1.454919474,1.414848746,1.291560102,1.397083309,1.109189655,1.399943531,1.935139463,2.060135588,2.231246861,1.950284643,1.810282404,1.938271605,1.925298701,1.402579187,2.077205882,2.112288006,1.889815427,2.39083487,2.244897959,1.92,1.599525056,1.381642512,1.510038768,1.897297297,1.91611667,1.961463021,1.526610644,1.633494587,1.404489837,1.570549712,1.416666667,1.638059701,1.508736842,1.282945736,1.237113402,1.173184358
31,1.377730718,1.327067669,1.244306594,1.334733746,1.433090024,1.356361335,1.348705431,1.40763782,1.310353389,1.494559842,1.674796748,1.419852505,1.412824314,1.393911153,1.261061947,1.693353396,1.789060162,1.475806452,1.746666667,1.574685858,1.545564788,1.256666667,1.239766082,1.247484848,1.475308642,1.451614038,1.414417887,1.276214834,1.358844807,1.10262069,1.388226159,1.931436007,2.054904587,2.235675478,1.944768573,1.82755767,1.919802469,1.90587013,1.422059454,2.073529412,2.137819139,1.889815427,2.370292336,2.234693878,1.924444444,1.610089509,1.359903382,1.515775207,1.881081081,1.91611667,1.942194531,1.535014006,1.617772403,1.393231537,1.544974201,1.402777778,1.578358209,1.508736842,1.279069767,1.257731959,1.134078212
32,1.383972358,1.296992481,1.245793678,1.334733746,1.442380004,1.345691292,1.333275216,1.396735448,1.301746255,1.487331659,1.658536585,1.405272527,1.404077094,1.379672776,1.247787611,1.70751829,1.7958695,1.467741935,1.706666667,1.560612292,1.541612396,1.276666667,1.239766082,1.262636364,1.518518519,1.436247275,1.402852737,1.25831202,1.377964058,1.109189655,1.399943531,1.9518217,2.047079009,2.247454687,1.929281143,1.853418848,1.928987654,1.909090909,1.409085596,2.071691176,2.132676177,1.889815427,2.366210166,2.255102041,1.94,1.612433782,1.3647343,1.49856589,1.875675676,1.890284579,1.865351333,1.540616246,1.617772403,1.393231537,1.541873388,1.430555556,1.555970149,1.543894737,1.275193798,1.18556701,1.134078212
33,1.352987071,1.266917293,1.242777022,1.332633127,1.433090024,1.335111674,1.343562026,1.382260548,1.300008276,1.494559842,1.707317073,1.405272527,1.398295033,1.362431397,1.232300885,1.698075027,1.789060162,1.459677419,1.76,1.569385424,1.50855603,1.283333333,1.216374269,1.252515152,1.462962963,1.426330966,1.394847839,1.253196931,1.334902681,1.106724138,1.317639585,1.93884292,2.021760964,2.232707848,1.940348644,1.784421227,1.928987654,1.902545455,1.409085596,2.053308824,2.119941223,1.881324045,2.374374506,2.260204082,1.895555556,1.596023869,1.376811594,1.515775207,1.859459459,1.870981478,1.846082843,1.495798319,1.602050219,1.382006944,1.516297877,1.361111111,1.559701493,1.473684211,1.294573643,1.18556701,1.122905028
34,1.340615247,1.270676692,1.241247451,1.326016175,1.419265649,1.31910661,1.312788772,1.364151524,1.301746255,1.49813589,1.666666667,1.392048826,1.382283173,1.355286321,1.247787611,1.702796659,1.721041604,1.491935484,1.733333333,1.562348641,1.520458118,1.266666667,1.222222222,1.242424242,1.481481481,1.421970603,1.368157286,1.255754476,1.354021933,1.101810345,1.376438201,1.926798345,2.023518581,2.245993699,1.956932216,1.844729492,1.947555556,1.879896104,1.415553045,2.034926471,2.09441009,1.872832664,2.345601791,2.244897959,1.906666667,1.617091883,1.376811594,1.518643427,1.87027027,1.870981478,1.903772932,1.515406162,1.586328035,1.387636094,1.500024807,1.388888889,1.552238806,1.473684211,1.279069767,1.164948454,1.12849162
35,1.340615247,1.251879699,1.241247451,1.328221825,1.419265649,1.31910661,1.348705431,1.346042501,1.300008276,1.480027391,1.650406504,1.378825125,1.391030393,1.360412136,1.227876106,1.683962019,1.748278958,1.451612903,1.746666667,1.544802376,1.507253537,1.256666667,1.245614035,1.242424242,1.456790123,1.41535973,1.367726428,1.248081841,1.33966814,1.096051724,1.399943531,1.932370212,2.024397389,2.226818244,1.950284643,1.818868315,1.913580247,1.896103896,1.396072778,2.040441176,2.12502296,1.898255962,2.312681064,2.239795918,1.911111111,1.592522682,1.352657005,1.504302329,1.881081081,1.838691363,1.846082843,1.481792717,1.565422714,1.387636094,1.480650923,1.388888889,1.570895522,1.561368421,1.271317829,1.206185567,1.139664804
36,1.362238074,1.248120301,1.221532971,1.330427476,1.414731254,1.30319197,1.338418621,1.347828765,1.286269966,1.472799209,1.617886179,1.369500721,1.369236471,1.340064202,1.210176991,1.669797126,1.755088297,1.451612903,1.733333333,1.544802376,1.504603638,1.276666667,1.233918129,1.257575758,1.50617284,1.409874112,1.358837135,1.235294118,1.325314348,1.087034483,1.364650244,1.941612171,2.006946769,2.257772908,1.931508787,1.818868315,1.925925926,1.87012987,1.376592512,2.027573529,2.132676177,1.881324045,2.353831973,2.214285714,1.911111111,1.605400962,1.374396135,1.49856589,1.854054054,1.838691363,1.846082843,1.490196078,1.57590417,1.35952405,1.463584044,1.375,1.552238806,1.526315789,1.275193798,1.206185567,1.134078212
