Frame,CS6B7nn_ROI1,CS6B7nn_ROI2,CS6B7nn_ROI3,CS6B7nn_ROI4,CS6B7nn_ROI5,CS6B7nn_ROI6,CS6B7nn_ROI7,CS6B7nn_ROI8,CS6B7nn_ROI9,CS6B7nn_ROI10,CS6B7nn_ROI11,CS6B7nn_ROI12,CS6B7nn_ROI13,CS6B7nn_ROI14,CS6B7nn_ROI15,CS6B7nn_ROI16,CS6B7nn_ROI17,CS6B7nn_ROI18,CS6B7nn_ROI19,CS6B7nn_ROI20,CS6B7nn_ROI21,CS6B7nn_ROI22,CS6B7nn_ROI23,CS6B7nn_ROI24,CS6B7nn_ROI25,CS6B7nn_ROI26,CS6B7nn_ROI27,CS6B7nn_ROI28,CS6B7nn_ROI29,CS6B7nn_ROI30,CS6B7nn_ROI31,CS6B7nn_ROI32,CS6B7nn_ROI33,CS6B7nn_ROI34,CS6B7nn_ROI35,CS6B7nn_ROI36,CS6B7nn_ROI37,CS6B7nn_ROI38,CS6B7nn_ROI39,CS6B7nn_ROI40,CS6B7nn_ROI41,CS6B7nn_ROI42,CS6B7nn_ROI43,CS6B7nn_ROI44,CS6B7nn_ROI45,CS6B7nn_ROI46,CS6B7nn_ROI47,CS6B7nn_ROI48,CS6B7nn_ROI49,CS6B7nn_ROI50,CS6B7nn_ROI51,CS6B7nn_ROI52,CS6B7nn_ROI53,CS6B7nn_ROI54,CS6B7nn_ROI55,CS6B7nn_ROI56,CS6B7nn_ROI57,CS6B7nn_ROI58,CS6B7nn_ROI59,CS6B7nn_ROI60,CS6B7nn_ROI61,CS6B7nn_ROI62,CS6B7nn_ROI63,CS6B7nn_ROI64,CS6B7nn_ROI65,CS6B7nn_ROI66,CS6B7nn_ROI67,CS6B7nn_ROI68,CS6B7nn_ROI69,CS6B7nn_ROI70,CS6B7nn_ROI71,CS6B7nn_ROI72,CS6B7nn_ROI73,CS6B7nn_ROI74,CS6B7nn_ROI75,CS6B7nn_ROI76,CS6B7nn_ROI77,CS6B7nn_ROI78,CS6B7nn_ROI79,CS6B7nn_ROI80,CS6B7nn_ROI81,CS6B7nn_ROI82,CS6B7nn_ROI83,CS6B7nn_ROI84,CS6B7nn_ROI85,CS6B7nn_ROI86,CS6B7nn_ROI87,CS6B7nn_ROI88,CS6B7nn_ROI89,CS6B7nn_ROI90,CS6B7nn_ROI91,CS6B7nn_ROI92,CS6B7nn_ROI93,CS6B7nn_ROI94,CS6B7nn_ROI95,CS6B7nn_ROI96,CS6B7nn_ROI97,CS6B7nn_ROI98,CS6B7nn_ROI99,CS6B7nn_ROI100
11,1916.625,1492.222,2395.6,2246.333,1173.667,952.5,2520.667,1073.25,1091.625,1774,1547.25,686.727,1739.083,1447.8,750.417,1132.625,972.438,2296.375,2802.667,2356,1802,1521.625,1528.667,1179.625,2314,2090.333,1197.529,1211,1479,1205.167,1492.444,1293,1137.8,1332.333,1132.778,1147.889,1320.75,1347.889,2188.667,1450.75,1311.333,1465.846,1454.444,1486.5,2024.5,1184.625,1163.85,1219.667,948.625,679.167,950.25,2245,1310.438,1314.75,1193.875,1009.083,1134.75,1085.167,1009.25,1999.25,1133.077,1078.375,993.6,1025.188,818.3,1528.167,1074,1611.25,1512.167,1808.75,1527.667,1482.5,1549.625,1724.083,1601.167,1535.5,917.833,1810.333,1596.875,1583.667,1351.833,1143.25,1497.25,1288.875,1000,1603.833,1321.125,1111.5,1309.778,1697.667,903.833,1542.375,1370.125,3035.583,2187.5,1728.167,1303,2347.4,1704.333,1730.1
12,1901.25,1517.333,2385.4,2253.5,1182.833,959.417,2488.833,1128.125,1107.25,1795.833,1549.25,701.182,1748.5,1443,725.667,1138.625,969,2288.5,2813.5,2346.5,1786.333,1564.5,1551.5,1204,2298.25,2077.083,1206.941,1158.375,1472,1219.167,1499.333,1286.667,1163.4,1293.889,1140.333,1102.778,1293,1363.556,2154.917,1413.5,1310.444,1470.269,1446.778,1519.625,2155.25,1223.375,1176.75,1222.222,939.875,703.5,1026.5,2293.667,1343.312,1361,1199.75,1013,1117.625,1028.833,1016,2003.917,1119.231,1070.625,1037.7,1019.75,808.4,1524.833,1072.5,1622.125,1487.667,1760.25,1564.167,1503.5,1553,1704.75,1529,1515.375,919,1736.333,1558,1560,1318.5,1065.75,1476.917,1374.125,944,1496.5,1320.5,1095.833,1298.222,1594.167,923.667,1544.375,1396.375,3081.333,2269.583,1818.167,1279.625,2360.75,1700.667,1722.3
13,1907.25,1497.667,2454.1,2184,1191,986.417,2449.167,1103.25,1064.5,1759.833,1442,688.818,1728.833,1461.8,749.292,1157.125,964.375,2267.875,2854,2347,1740.333,1510.375,1620.167,1221.25,2325.438,2057.833,1179.823,1218.5,1493.5,1192.833,1478,1255.833,1181.2,1334.333,1111.667,1156.333,1346,1324.333,2197,1442.125,1311.889,1463.346,1414.111,1483.125,2133.25,1169.75,1160.25,1184,957.75,696.5,949,2365.833,1328.125,1277.75,1191.375,1010.917,1069.875,1067.333,1062,1974.917,1113.5,1077.875,1040.8,1054.625,839.5,1495.5,1122.333,1580.125,1496.833,1821.5,1500.167,1549,1521.375,1709.167,1539.667,1516.125,851.167,1774,1531.5,1603.222,1327,1110.75,1504.25,1309.25,915.75,1579,1320.125,1074.167,1316.556,1665.5,921.833,1563.625,1377.25,3078.333,2186.167,1853.5,1299.375,2372.55,1767.333,1761
14,1932.25,1576.667,2427,2210.333,1184.333,948.583,2477.167,1135.625,1065.75,1810.833,1459.25,686.091,1703.75,1402,758.917,1150.75,968.312,2235.125,2831.333,2367.625,1815,1504.562,1566,1225.375,2301.938,2042.333,1166.882,1241.125,1492.2,1189.833,1492.444,1270.667,1121.9,1321.111,1139.111,1134.444,1335.75,1335.333,2149.667,1423.5,1335,1483.692,1459.667,1478.875,2109,1204.5,1202.6,1244.667,931,693.75,967,2247.833,1347.438,1283.5,1181.375,980.667,1085.5,1060.833,971.75,1933.917,1100.462,1117.625,1020.3,1041.062,806.7,1514.667,1060,1617.5,1495.667,1801,1546.667,1476.667,1560.875,1751.667,1506.833,1540.5,905,1751,1515.75,1573.667,1322.167,1114.5,1494.167,1355,949.75,1562.333,1315.25,1086.667,1299.667,1590.667,932,1549.5,1376.875,3023.667,2251.75,1767.167,1264.875,2342.95,1707,1725.5
15,1969.375,1535.444,2430.3,2238.833,1185.5,956.083,2506.167,1147.125,1075.125,1805.667,1514.75,734.727,1718.917,1430,734.167,1144.25,966.438,2277.375,2819.833,2381.75,1748.333,1516.5,1567,1236.875,2296.188,2064.333,1198.588,1229.125,1490.2,1177.667,1512.333,1243.833,1128.8,1264.778,1129.889,1146.333,1312.25,1353.556,2158.167,1373.875,1319.222,1469.538,1407.556,1499.625,2076.75,1223.125,1151.8,1236.667,963.125,692.833,980.75,2269,1353.625,1295.5,1181.125,968.417,1141.625,1051.667,1053,1972.5,1109.808,1094.875,1033.5,1013.625,801.8,1558.167,1124.333,1629.375,1447.5,1734.5,1535.167,1442.5,1549.625,1671.917,1561.667,1561.625,929.833,1701.667,1561,1618.222,1294.333,1161,1505.667,1344.25,934.25,1551.5,1270.125,1077,1283.222,1640.833,921.833,1558.75,1377.375,3033.167,2202.417,1851.167,1298.625,2355.65,1720,1779.1
16,1885,1514.111,2392.4,2230.167,1121.167,944,2436.667,1138.875,1048.625,1782.667,1494.5,718.182,1692,1407,727.75,1116,974.312,2256.75,2833,2361.125,1796,1535.5,1541.667,1218.625,2327.875,2072.25,1193.647,1204,1494.2,1204.833,1489.222,1206,1151.6,1369.333,1152.444,1094.667,1305.25,1341,2154.417,1480.375,1298.889,1506.808,1426.667,1509.25,2110.75,1210.875,1172.9,1211.778,949.75,690.25,909.75,2280.167,1327,1280,1188.625,991,1119.125,1045.667,1024.75,1937.5,1110.385,1095.625,1060.3,1040.25,819.9,1576.667,1115.833,1600.375,1469.667,1780.125,1587.667,1509.5,1487.75,1716.5,1554.667,1559.625,845.833,1724.833,1523.625,1604.889,1365.167,1154.75,1497.5,1336.375,951.75,1567.167,1313.875,1084.167,1283.778,1615.333,912.333,1535.875,1372.375,3016.417,2205.417,1789,1330.75,2360.25,1733.333,1756.5
17,1941,1491.444,2352.2,2290.5,1174.167,957.25,2476.167,1140.75,1057,1791.333,1521,721.818,1726.5,1428.4,745.333,1130.625,1006.062,2239.625,2832.667,2365.375,1766.667,1506.812,1583.833,1237.5,2336.188,2041.417,1171.882,1179.125,1544.9,1191,1478.889,1268.167,1121.6,1301,1143.111,1141.889,1321.75,1332.333,2136.75,1393.875,1270.889,1448.962,1427.667,1503.25,2030.75,1158,1173.4,1253.778,935.875,664.25,960.5,2285.667,1323.938,1329.75,1189.625,968.833,1099.25,1091.167,1021.5,1963.417,1107.192,1084.625,1013.4,1019.312,814.5,1558.167,1092.667,1626.125,1515,1736.75,1557.833,1428.167,1576,1700.417,1570.333,1537.75,884.167,1771.833,1542.25,1605.333,1347.167,1096,1461.25,1328.5,1030.25,1551.667,1293.75,1091.5,1313.222,1658,953.667,1552.25,1406.75,3025.667,2230.833,1815.833,1294.375,2340.8,1740.333,1827.1
18,1916.5,1547.778,2416.1,2225.167,1165.333,936.333,2502.167,1086.5,1077,1815.667,1437.75,666.364,1763.75,1383.2,737.792,1131.5,967.562,2222.5,2800.667,2370,1827.333,1488.812,1581,1194.5,2328.688,2043,1157.765,1211.75,1498.9,1199.167,1515.556,1273.833,1144.8,1338,1100.333,1124,1354.75,1316.556,2193.333,1394.25,1319.556,1478.615,1408.444,1477.625,2111.75,1160.875,1179.75,1214.667,906.625,681.25,950.75,2293.5,1323.25,1314.25,1170.5,998,1107.625,1043.667,971.5,1992.917,1116.923,1108.375,1036.8,1027.438,843.3,1561.167,1059.5,1579,1470.333,1821.125,1605.5,1561.167,1524.125,1682.417,1512.5,1556.25,887.5,1792.833,1534.625,1623.778,1346.667,1122.25,1485,1337.75,939.25,1551,1323.875,1118.5,1310,1607,883.667,1580,1405.5,3035.083,2185.5,1801.667,1323,2324.1,1728.333,1779.3
19,1925.5,1581.111,2400.7,2231.333,1173.5,986.167,2460.333,1128.375,1082.75,1765.667,1496.5,679.909,1734.833,1408.6,724.333,1107.25,964.75,2308.875,2771.167,2377.125,1828.667,1512.562,1575.333,1216.875,2314.438,2073.417,1170.294,1218.625,1512.6,1203.833,1516.444,1344,1175.3,1285.889,1121.333,1120.444,1327,1361.556,2179.333,1440.625,1319.111,1460.615,1448.111,1511.75,2113.25,1192.875,1161.45,1251.111,943.75,702.083,937,2338.167,1321,1324.5,1159.75,992.167,1083.375,1052.167,1011.25,1967,1100.808,1085.875,1017.4,1022.25,817.2,1565.167,1098.167,1685.125,1467.417,1779.875,1488.667,1548.333,1537.125,1721,1566.5,1542,940.167,1861.667,1477.375,1613.889,1356.833,1115.75,1462.25,1369,914.5,1599.333,1321.125,1088.333,1307.778,1644.167,890.5,1574.25,1378.5,3077.417,2200.167,1874,1326.75,2336.6,1659,1746.6
20,1938.625,1501.444,2412.6,2198.167,1171.333,948.917,2477.5,1136.25,1095,1790.333,1505.5,697.909,1748.083,1427.2,736.458,1113.5,964.562,2264,2787.667,2382.875,1849.667,1521.562,1557.5,1209.125,2309,2020.833,1144.882,1197.375,1522.3,1170.667,1514,1321,1141.1,1292.667,1108.222,1140.333,1298,1324.222,2156.917,1420.875,1266.889,1470.885,1479.556,1505.75,2083.5,1187.5,1166.05,1238,981.25,662.167,970.75,2299,1336.938,1280.25,1170.25,1024.75,1072.125,1029.333,1016,1980.25,1109.769,1096.625,1022,995.5,816.3,1534.167,1110,1584.875,1435.167,1806.125,1665.167,1475.333,1472.625,1748.917,1509.833,1534.875,882.667,1774.5,1523.625,1642.778,1310.167,1133.5,1565.25,1364.125,918.5,1583.167,1291.5,1102.667,1263.333,1663.167,952.833,1536.125,1392.125,3063.417,2189.25,1775.5,1288,2317.9,1694,1756.1
