Frame,CS6B7nn_ROI1,CS6B7nn_ROI2,CS6B7nn_ROI3,CS6B7nn_ROI4,CS6B7nn_ROI5,CS6B7nn_ROI6,CS6B7nn_ROI7,CS6B7nn_ROI8,CS6B7nn_ROI9,CS6B7nn_ROI10,CS6B7nn_ROI11,CS6B7nn_ROI12,CS6B7nn_ROI13,CS6B7nn_ROI14,CS6B7nn_ROI15,CS6B7nn_ROI16,CS6B7nn_ROI17,CS6B7nn_ROI18,CS6B7nn_ROI19,CS6B7nn_ROI20,CS6B7nn_ROI21,CS6B7nn_ROI22,CS6B7nn_ROI23,CS6B7nn_ROI24,CS6B7nn_ROI25,CS6B7nn_ROI26,CS6B7nn_ROI27,CS6B7nn_ROI28,CS6B7nn_ROI29,CS6B7nn_ROI30,CS6B7nn_ROI31,CS6B7nn_ROI32,CS6B7nn_ROI33,CS6B7nn_ROI34,CS6B7nn_ROI35,CS6B7nn_ROI36,CS6B7nn_ROI37,CS6B7nn_ROI38,CS6B7nn_ROI39,CS6B7nn_ROI40,CS6B7nn_ROI41,CS6B7nn_ROI42,CS6B7nn_ROI43,CS6B7nn_ROI44,CS6B7nn_ROI45,CS6B7nn_ROI46,CS6B7nn_ROI47,CS6B7nn_ROI48,CS6B7nn_ROI49,CS6B7nn_ROI50,CS6B7nn_ROI51,CS6B7nn_ROI52,CS6B7nn_ROI53,CS6B7nn_ROI54,CS6B7nn_ROI55,CS6B7nn_ROI56,CS6B7nn_ROI57,CS6B7nn_ROI58,CS6B7nn_ROI59,CS6B7nn_ROI60,CS6B7nn_ROI61,CS6B7nn_ROI62,CS6B7nn_ROI63,CS6B7nn_ROI64,CS6B7nn_ROI65,CS6B7nn_ROI66,CS6B7nn_ROI67,CS6B7nn_ROI68,CS6B7nn_ROI69,CS6B7nn_ROI70,CS6B7nn_ROI71,CS6B7nn_ROI72,CS6B7nn_ROI73,CS6B7nn_ROI74,CS6B7nn_ROI75,CS6B7nn_ROI76,CS6B7nn_ROI77,CS6B7nn_ROI78,CS6B7nn_ROI79,CS6B7nn_ROI80,CS6B7nn_ROI81,CS6B7nn_ROI82,CS6B7nn_ROI83,CS6B7nn_ROI84,CS6B7nn_ROI85,CS6B7nn_ROI86,CS6B7nn_ROI87,CS6B7nn_ROI88,CS6B7nn_ROI89,CS6B7nn_ROI90,CS6B7nn_ROI91,CS6B7nn_ROI92,CS6B7nn_ROI93,CS6B7nn_ROI94,CS6B7nn_ROI95,CS6B7nn_ROI96,CS6B7nn_ROI97,CS6B7nn_ROI98,CS6B7nn_ROI99,CS6B7nn_ROI100
133,1854.625,1484.444,2350.7,2155.333,1165.167,943,2484.5,1121.375,1045.375,1775.667,1448,649.636,1650.167,1361,704.833,1144.625,992,2230,2815.667,2344.75,1777.333,1533.375,1535.833,1246.75,2304,2011.333,1153.471,1170.5,1552.3,1200.667,1454.111,1251.167,1132.6,1280.444,1129,1057.222,1169.25,1285.333,2121.583,1424.75,1291.222,1455.385,1422.333,1360.375,2071.5,1146.5,1182.75,1214.667,924.375,669,938.75,2292.5,1316.5,1248.25,1150.375,984.167,1140.5,1014,1027.5,1963.917,1097,1085,1004.5,1003.812,798.7,1459.167,1057.5,1601.375,1506.333,1789.625,1576,1437.333,1517.75,1702.917,1620.667,1452.25,892.167,1768.333,1552.125,1601.333,1320,1207,1427.25,1320.25,932.25,1554.667,1276.125,1077.167,1285.444,1585,864.167,1541.125,1340.5,3082.083,2180.5,1715.5,1327.625,2329.05,1301,1729.5
134,1863.875,1488,2426.7,2207.333,1166.667,940.083,2414.167,1135.375,1087.125,1791.5,1449.75,658.364,1716.667,1338.6,726.292,1132.5,957.688,2250.125,2861.833,2325.375,1892,1532.562,1546.667,1201.75,2294.688,2065.667,1166.529,1122.25,1515.4,1166.5,1484.667,1282.167,1141.6,1326.333,1129.333,1059.889,1211.75,1281.111,2140.167,1423.625,1291.333,1430.962,1439.111,1346.5,2038.25,1154.125,1184.5,1196.889,945.75,693.083,954.25,2263.667,1297.688,1298.25,1158.125,994.333,1118.25,1060.333,1024,1963.333,1104.5,1101.375,1049.7,983.938,811.9,1577.5,1040.833,1613.625,1491.167,1791.875,1618.5,1463,1527.125,1674.417,1522.167,1515.625,872.833,1764.333,1514.875,1539.556,1391.5,1097,1455.667,1340.375,971.5,1562.333,1282.125,1084.333,1287.556,1561.667,873.5,1587,1357.875,3099.25,2170,1712.333,1307.625,2340.4,1280.667,1790.9
135,1856.75,1497.556,2424.5,2188.5,1135,926.917,2487.833,1078.875,1044.375,1758.167,1462.25,682.091,1674.917,1350,735.083,1136.875,946.938,2263,2804.167,2334.125,1749,1538.25,1562.833,1215.25,2293.938,2078.083,1167.412,1156.625,1485.6,1184.167,1482.667,1253.333,1129.7,1278.222,1170.444,1077.333,1214.75,1293.222,2091.917,1423.625,1318.222,1456.385,1416.333,1377.25,1982.5,1183.375,1182.7,1234.222,967.125,697.333,957,2249.667,1313.938,1329.75,1186,1005.583,1100.5,1007.667,1053.75,1983.083,1073.808,1084.25,1020.1,1001.688,838.7,1549,1047.667,1601.125,1450.417,1782.125,1565.167,1490.167,1509.375,1648,1499.833,1479,849,1780.333,1506.375,1618.444,1321.167,1099,1472.25,1323.5,928.5,1502.333,1317.25,1089.333,1300.444,1602.833,937.5,1526.625,1408.375,3013.083,2253.333,1683.167,1319,2302.85,1320.667,1788.5
136,1878,1478.667,2361.1,2233.333,1163.667,929.417,2463,1124.375,1000.75,1773,1489.75,656,1714.167,1330.2,747.125,1136.375,968.438,2242.125,2818.667,2340.375,1807.667,1530.562,1510.667,1238.375,2290.375,2044.167,1156.471,1129.625,1514,1188.5,1525.667,1219.333,1173.6,1277.889,1112.333,1089.111,1238,1289.778,2090.667,1363.125,1299.889,1441.654,1425.222,1371.375,1996.5,1121.625,1181.5,1181.111,960.75,695,970.5,2272.333,1323.625,1331.5,1165.25,989.917,1073.75,997.833,1048.5,1959.083,1085.885,1096.375,1052.1,982,801.1,1445.833,1018.667,1579.125,1411.417,1770.875,1611.667,1457.833,1456.625,1718.833,1573,1510.25,903.5,1659.333,1490.375,1572.333,1354.167,1117,1427.5,1352.375,953.5,1490.333,1286.625,1075.333,1328,1537,923.667,1560.375,1366.75,3065,2179.917,1692.333,1317.375,2325.1,1241,1728.3
137,1876.125,1520.222,2417.6,2137.667,1175.833,935.25,2469,1122.25,1047.875,1773.167,1458,703.182,1654.083,1364.6,735.875,1135.625,950.688,2232.125,2820.5,2332,1744.333,1502.562,1552.833,1230.25,2287.312,2052.083,1187.823,1153.625,1521.4,1203.833,1488.333,1266.167,1136.9,1316.667,1176.556,1060.444,1180.25,1307.556,2152.833,1376.125,1306.667,1447.5,1365,1357.875,1963.5,1189,1180.9,1217.111,914.75,719.333,926.25,2276.833,1308.75,1299.5,1190.25,999.333,1135,1013.667,963.25,1974.083,1078.077,1076,1006.6,1024.875,793.1,1516.333,1086.667,1576.375,1503.167,1745.875,1545.667,1489.5,1566.5,1680.833,1527.167,1471,888,1758.667,1497.375,1632.333,1458.5,1145.5,1523.5,1287,953.5,1570.333,1247.625,1090.167,1277.778,1617,916.333,1545.5,1379.125,3072,2187.917,1631,1295.875,2295,1330,1667
138,1853.5,1487.444,2390.3,2208.5,1163.833,912.917,2375.333,1139.75,1082,1718.167,1424.75,665.273,1685.417,1301.4,723.667,1083,981.188,2339.5,2811.5,2364.125,1762,1465.438,1570.667,1170.5,2303.75,2045,1191,1137.625,1490.2,1226.5,1478.667,1212.833,1159.7,1315,1127.556,1049.333,1183.75,1260.333,2143.917,1402.25,1317.444,1466.769,1396.333,1346.125,2026.5,1126.25,1177.35,1173.333,940.875,697.583,947.25,2263.167,1308.938,1299.5,1188.5,982.25,1088.125,1030.5,998.25,1950.583,1061.308,1086.375,1037.6,996.875,808.4,1463.5,1014.333,1594.5,1425.667,1748.125,1610.167,1514.167,1527.125,1707.083,1591,1448.5,898.167,1767.833,1570.5,1583.667,1408,1051.25,1523.167,1331.5,931.25,1546.833,1293.5,1100,1314.222,1604.667,872.167,1532.125,1346,3016.333,2191.083,1605.833,1335.25,2309.95,1289.667,1753.3
139,1843.625,1491.556,2355.3,2222.5,1147.167,933,2432.667,1112.125,1060.375,1799,1412.5,673.909,1651.5,1309.6,741.208,1113.375,936.938,2255.75,2820.833,2325.5,1838.667,1493.562,1538.167,1257.375,2319.438,2055.667,1136.882,1158.5,1506.3,1225.833,1509.222,1252,1145.2,1351.889,1142.889,1087.111,1202.25,1272.444,2113.25,1393,1326.556,1441.615,1348.444,1368,2015.25,1178.75,1171.35,1205.778,933.125,661.25,951.25,2276.333,1297.75,1277.5,1170.5,1015.667,1073.125,998.667,981.25,1956.25,1063.846,1025.5,1011.4,1027.125,783.5,1439.833,1110.167,1595.75,1466.667,1759.5,1620.333,1447.167,1561.375,1750.583,1523.5,1503.125,917.333,1769.667,1508.875,1614.556,1342,1080,1504.417,1315.5,930.25,1525.667,1312.5,1036.667,1286.889,1601.5,899.5,1503.875,1331.125,3058.667,2188.25,1702.667,1346,2351,1249,1705.8
140,1895,1484.333,2379.4,2219.833,1217.167,957,2445.167,1132.75,1044.875,1798.667,1425.25,645.636,1671.333,1312,714.625,1079.5,945.125,2213.75,2839.833,2318.25,1767.333,1506.875,1586.833,1198.625,2300.375,2050.667,1169.118,1168.5,1493.2,1166,1513.889,1277.5,1142.4,1346.111,1107.222,1050.222,1194.25,1263.667,2151,1370.5,1310.778,1460.423,1380.222,1350.25,2032,1170,1178.3,1172,929.125,683.083,895.5,2279.833,1324.25,1289,1166.875,1016.333,1117.875,1024.667,979.5,1961.667,1090,1130.75,1007.2,995.938,794.3,1481.833,1123.833,1636.75,1452.583,1778.5,1596.833,1485.833,1531.25,1695,1566.5,1483.875,871.5,1668.833,1489.5,1592.556,1342.833,1076.75,1459.25,1318.625,931,1529.167,1259.75,1109.167,1328.444,1568,888.5,1550.875,1335.25,3094.5,2188.25,1645.833,1389.125,2316.7,1310.333,1719
141,1824.875,1514.556,2382,2221.333,1149,934.833,2486,1128.5,1022.25,1795.5,1397.75,685.818,1689.583,1344.8,731.417,1107.5,967.062,2238.875,2836,2340.75,1775.333,1512.188,1523.667,1245.625,2264.062,2031.333,1153.941,1154.25,1483.2,1222.667,1486,1241.667,1138.5,1299.889,1173.889,1043.889,1115,1290.444,2098.667,1416.375,1305.889,1428.808,1396,1352.375,2038,1197.125,1182.15,1208,938.125,695,963.25,2202.667,1339.875,1283.25,1192.625,1016.417,1098.625,978.5,1094.5,1966.333,1083.885,1085.25,989.9,953.75,792.2,1501.333,1108,1658.875,1488.583,1786.125,1653,1493.333,1524.25,1726.083,1538.5,1468.125,901,1757.333,1489.125,1544.444,1322.833,1123.5,1457.917,1345.625,949.75,1593.333,1269.5,1087.5,1331.444,1551.167,866,1561.625,1385.375,3103.5,2180.333,1627.833,1356.75,2318.45,1336.333,1716.1
142,1825.75,1505.444,2401.6,2180,1126.833,931.667,2443.833,1100.25,1053.125,1798.333,1429,671.273,1674.75,1381.8,709.25,1124.125,959.75,2241.875,2850,2362.5,1842,1492.812,1569.5,1212.625,2338.188,2029.75,1176.353,1172.375,1510.2,1188.5,1463.778,1288.5,1134.1,1327.333,1157.889,1049.667,1164.75,1302.222,2148.083,1414.625,1314.222,1453.846,1400.333,1351.75,2032.5,1141.375,1195.25,1144.444,952.5,679.167,909.25,2273.167,1344.688,1352.25,1136.625,1016.833,1087,1019.333,1022.25,1932.167,1089.538,1053.375,983.5,1004.438,797.3,1523.5,1075,1597.125,1467.083,1715,1631.333,1416.667,1521,1638.917,1523.833,1493.75,867.833,1750.833,1517.75,1582,1334.667,1139,1439.25,1355.625,974.75,1549.833,1260.25,1081.5,1242.778,1561,868.5,1529.625,1360.625,3105.5,2175.75,1638.167,1314,2296.65,1266.667,1778.1
143,1870.125,1501.444,2413.1,2206.5,1172.833,935.167,2456.167,1081.75,1060.75,1804.5,1417.25,665.273,1677.167,1370.4,720.375,1139.375,959.688,2263.5,2756,2346.125,1838.333,1487.5,1531,1188.5,2309.688,2034.917,1175.765,1187,1474,1180.833,1474.889,1237.167,1123.4,1299.778,1155,1055.556,1158.75,1284,2156.917,1408,1314.333,1443.423,1388.111,1326.5,1999.75,1176.75,1183.5,1203.556,960.625,680.417,883,2247.833,1318.75,1268,1151.5,975.167,1093.75,1031.333,987.25,1932.333,1085.923,1055.375,1012.2,982.562,800.1,1481.167,1053.333,1582.375,1482.333,1790.25,1602.5,1449.667,1439.5,1684.333,1567.167,1501.75,880.833,1744.667,1529.375,1570.778,1373.167,1093.5,1463.083,1332,938.5,1520,1293.875,1094.5,1311.333,1589,892.167,1573.25,1328.75,3077.917,2191.667,1667,1317.25,2331.45,1250.667,1718
144,1886.375,1487.222,2347,2202.5,1164.667,933.833,2437.5,1115.875,1043.75,1732,1419,675.636,1644,1309.8,739.083,1135.125,983.625,2303.875,2856.667,2371.75,1781.667,1516.75,1562.5,1207.125,2308.562,2062.083,1137.765,1168.875,1462.8,1194,1504,1262,1150.4,1308.778,1156.111,1064.444,1165.25,1262.889,2174.833,1346.5,1310.889,1428.885,1415,1337.625,2008.5,1156.875,1188,1210.889,953.875,686,912,2234.833,1337.25,1288.5,1184.875,989.167,1090.875,982.5,1079.5,1950.917,1100.577,1068.75,1024.3,986.188,778.4,1523.667,1102,1556.125,1458.833,1766.25,1553.167,1496,1521.125,1741,1587.5,1499.375,873,1773.833,1513.75,1602.667,1414,1182.5,1478.25,1300.875,933.25,1549.167,1262.125,1125.5,1300.667,1537.5,894.333,1528.875,1361.25,3102.833,2166,1663.333,1308,2309.55,1322.333,1756
145,1866.875,1500,2383.5,2122,1173,946.583,2432.333,1143.125,1081,1809,1428,655,1696.667,1399.6,708.917,1159.5,957.812,2284.875,2796.5,2378.625,1764,1502.812,1518.333,1169.25,2310.875,2054,1129,1139.5,1534.9,1179.167,1513.444,1288,1139.9,1315.222,1111.778,1071.667,1200,1276.444,2116.333,1390,1276.667,1436.385,1412.889,1381.75,2093.5,1187.125,1148.8,1224.333,987.25,682.25,942.75,2256.333,1283.312,1326.25,1176.125,1020.75,1064.875,1019.667,1038.25,1964.5,1084.423,1057.75,1032.6,985.812,824.6,1549.667,1084,1624.625,1516.583,1764.75,1507.667,1378.333,1509.625,1661.25,1588.333,1503.25,844.333,1722.167,1537.75,1546.889,1358.167,1125,1446.333,1304.875,960,1537,1283.25,1075.833,1316.333,1644.667,884.333,1550.75,1346.75,3071.333,2185.75,1668.333,1291.875,2298.5,1252.333,1703.3
146,1890.125,1462.667,2344.6,2246,1169.5,937,2407.833,1130.125,1039.625,1783.167,1448.25,655.909,1702.083,1361.4,727.958,1178.5,923.5,2269.625,2860,2357.375,1757.333,1489.875,1554,1175.375,2276.625,2084.833,1171.941,1141,1485.8,1202.5,1471.889,1233.667,1143,1303,1155.333,1034.667,1156,1288.222,2117.583,1420.625,1301.667,1442.192,1397.111,1354.25,2031.25,1146.875,1178.8,1137.444,920.875,686.417,905.75,2274.833,1271.312,1303.75,1180,985.167,1101.75,1024,1035,1925.75,1087.615,1062.625,1005.7,1020.312,812.2,1521.167,1049.5,1593.875,1488.167,1758.625,1532.167,1424,1517.625,1665.917,1571.667,1493.875,886.167,1753.833,1529.625,1534.556,1309.333,1183,1455.75,1327.375,951.5,1613.333,1284.75,1111.333,1313.333,1553.5,835.167,1576.625,1337,3055.333,2296.25,1610.833,1335.125,2291.15,1327.667,1716.8
147,1865.875,1540.333,2379,2170.833,1192.667,939.917,2423.5,1092.75,1050,1804.167,1386.5,655.636,1695.083,1363.6,719.333,1185.5,987.125,2220.25,2784.667,2302.25,1858,1482.438,1568.5,1202.625,2289.5,2062.167,1154.059,1179.125,1521.7,1178.833,1504.111,1255.833,1146.5,1311.444,1097.222,1038.556,1143.5,1309.667,2122.833,1449.625,1282.222,1434.462,1381.111,1314.5,2007,1176,1178.8,1201.222,915.875,685.25,902.75,2238.667,1291.625,1296,1162.125,969.333,1074.25,980.5,978.75,1951.75,1069.577,1093.125,1013.2,975.812,769.9,1483.167,1128.333,1652.375,1445.25,1764.875,1536.167,1473,1498,1668.833,1542.833,1499.5,864.167,1749.667,1518.625,1569.667,1372.333,1112,1464.417,1356.125,871.75,1570.167,1241.125,1066.333,1348.778,1607.333,911.833,1536,1384.375,3083.75,2161.667,1657.5,1345.25,2308.95,1259.667,1705.9
148,1859.875,1498.556,2392.6,2209.5,1185,955.667,2411.833,1088.25,1053.5,1781.833,1463.5,666.364,1694.25,1390,728.542,1099.125,942.438,2302,2814.5,2294.75,1747.333,1501.938,1544.833,1228.625,2292.938,2077,1170.941,1147.25,1523.3,1165.5,1514.778,1187.167,1116.3,1340.444,1172.444,1055.556,1191.75,1297.333,2135.333,1354.75,1316.667,1477.269,1381.111,1331.875,2003,1162.875,1153.2,1197.778,935.125,710.917,901.25,2209.833,1280.188,1190.25,1133.125,967.167,1054.125,998.833,1010.25,1935.333,1090.346,1104.125,1030.2,987.562,816.6,1547.167,1067.167,1568.75,1486.25,1708,1541.667,1525.5,1465.25,1724.167,1503.833,1453.375,886.333,1704,1497.375,1579.333,1303.833,1134.75,1489.833,1346.25,981.75,1543.667,1228.75,1052,1294,1604.167,893.167,1551.875,1327.75,3128.583,2194.25,1684.333,1291.75,2309.75,1288.667,1712.4
149,1836,1523.889,2336.1,2229.833,1159.667,944.75,2422.833,1098.375,1042.5,1788.667,1359.5,666.273,1661.25,1343.6,716.5,1142.75,975.188,2215.375,2815.833,2345.625,1749.667,1494,1522.333,1198.875,2274.438,2026.333,1161,1163.875,1503.9,1198.5,1455.556,1267.833,1118.6,1310.111,1166.889,1045.889,1194.25,1284,2110.667,1432.75,1295.556,1444.692,1441.222,1305.875,1988.75,1186.875,1200.05,1217.667,933.875,665.333,968,2248.333,1302.938,1318.5,1165.5,1013.333,1088,965.5,1032.75,1955.417,1077.385,1065.375,1009.4,1005.938,797.9,1528.833,1088.167,1553.25,1473.75,1768,1533.833,1417.667,1506,1684,1540.333,1426.25,886.5,1865.333,1497.375,1588.667,1355.167,1099,1474.167,1311.375,899.5,1572,1277.25,1098.833,1305.667,1547,892.333,1532.375,1331.375,3086.167,2196.25,1620.5,1328.375,2349.7,1224.667,1772.4
150,1851.125,1461.333,2390.6,2194.333,1120.833,935.75,2426.667,1115.375,1059.75,1762,1428.25,641.818,1664.5,1345.2,737.083,1165.375,953.812,2239.75,2825.5,2339.25,1829.333,1505.062,1535.833,1191.25,2279.812,2009.583,1135.941,1189.375,1513,1231.5,1492,1199.833,1155.8,1311.222,1153.667,1043.333,1109.25,1302.222,2117.25,1401.875,1309.222,1433.731,1395.444,1332.25,2014,1153,1171.25,1198.889,947.5,684.25,882.5,2300.833,1324,1344,1171,958.333,1127.625,990,992.5,1952.583,1098.538,1042.875,979.2,963.5,826.4,1526.5,1048.167,1560.375,1475.75,1800.625,1503.167,1471,1523.375,1686,1525.833,1466.5,902.833,1730,1551.25,1564.444,1375.667,1126.75,1482,1319.5,940,1565.167,1300.125,1112.5,1308.444,1576.667,891.5,1549.375,1356.875,3023.333,2206.333,1635.333,1308.125,2335.55,1274,1703.3
151,1818.625,1527,2396,2168.333,1101.333,941.25,2490,1110.375,1062.125,1805.167,1373,650.636,1617.167,1315.8,737.292,1129.5,979.25,2269.875,2852.667,2338.5,1789.333,1474.812,1531.667,1188.25,2299.062,2056.333,1153.823,1137.375,1463.2,1183,1492.111,1222.167,1150.6,1335.667,1158.333,1025.333,1082.5,1296.333,2120.25,1424.5,1306.222,1451,1394.444,1309.625,2072,1106.625,1154.8,1202.667,906,685.667,891.25,2237.5,1324.5,1294.25,1144.125,957.75,1129.125,1000.333,1023.25,1955.833,1090.731,1024.125,1044.6,984.375,829.6,1535.667,1058,1599.75,1453.25,1760.375,1592.5,1486.5,1531.625,1681.917,1533.5,1459.5,873.333,1692.667,1515.875,1525.333,1310.5,1097.5,1470,1342.25,925.5,1598.833,1267.625,1075.333,1318.889,1583.167,893.333,1519.5,1356.25,3092.5,2211.75,1666,1318.75,2322.15,1317,1740.9
152,1884.625,1476.778,2407.4,2191.167,1152.5,946.083,2441.667,1122.625,1085.875,1755.667,1415.75,682,1649.417,1345.2,723.708,1148.5,959.812,2264.625,2768.167,2354.375,1750,1515.125,1545.833,1192.625,2330.625,2042.25,1156.118,1158.625,1522.4,1164.167,1451.333,1223.333,1148.4,1282.111,1125.333,1045.778,1200,1349,2120.5,1421.5,1341.778,1439.423,1402,1296,2035.75,1150.375,1175.9,1196.889,931.75,681.083,889.25,2228.667,1295.5,1315.5,1126.375,1009.667,1078,985.167,1003.75,1968.167,1086.5,1037.125,1018.2,1019.438,815.2,1517.333,1063.667,1550.625,1443.083,1747,1550.667,1531.5,1507.75,1713.167,1543.167,1505.125,911.333,1766.333,1488.125,1558.556,1252.333,1134,1446.917,1318.875,926.75,1545.833,1275.125,1079.333,1340.778,1579.5,924.333,1516.125,1375.25,3084.75,2235.75,1652.833,1357.375,2333.2,1313.667,1707.9
153,1829.75,1465.111,2366.5,2190.667,1169.167,930.75,2407.333,1121.25,1069.875,1804,1450.25,678.091,1672.333,1346.2,725.5,1116.875,951.188,2275.875,2789.667,2341.625,1768.333,1465.625,1505.667,1220.125,2286.25,2051.417,1169.294,1174.875,1522.8,1126.667,1485.889,1199,1154.8,1314,1158.778,1043.333,1202.75,1306.111,2129.167,1458.875,1316.444,1458.231,1368.889,1325.375,2011.75,1191.625,1197.45,1213.333,970.5,672.167,923.25,2244.5,1308.375,1289,1158.125,974,1108.375,997.667,969.75,1956.583,1080.808,1016.875,1053.2,1019.562,786.3,1519.167,1072.167,1599.75,1487.417,1815.25,1595.667,1472.667,1534,1696.417,1592.667,1514,890.167,1766,1519,1580.444,1346.833,1077.25,1508.167,1366.5,923.75,1592.667,1244,1068,1292.333,1599.333,909.667,1561.625,1354.875,3081.5,2160.25,1641.667,1339.625,2348.95,1303.333,1690.3
154,1905.625,1501.556,2382.6,2173.333,1178.333,913.917,2366.667,1132,1071.25,1740.5,1438.25,670.364,1684.583,1334.8,697.542,1126.5,971.812,2281.5,2827.667,2312.125,1756.333,1522.5,1483.833,1235.125,2276.5,2061.75,1166.765,1171.625,1505.1,1163.167,1453,1275.333,1192.8,1316.444,1169.889,1033.556,1132,1276.667,2139.75,1411.5,1275,1428.423,1397.222,1307.25,2073.75,1119.875,1178.9,1203.333,931.375,682.25,924.75,2276.833,1334.312,1295.5,1149.875,999,1108.5,1017.5,993.25,1935.083,1076.385,1047.625,1012.2,976.312,856.6,1485,990.333,1635.125,1504.167,1713.875,1590.333,1474.5,1499.5,1714,1540.333,1482.25,881.333,1745.833,1552.375,1610,1343.833,1201.75,1449.333,1281,916.75,1549.333,1240.75,1064.333,1295,1604,862,1526.75,1318.375,3044.583,2199.25,1646.5,1321.5,2327,1345,1684
155,1862.375,1456.444,2368,2216.5,1131.667,928.833,2409.5,1092.125,1084.375,1747.5,1400,663.455,1670.167,1380.2,730.75,1169.25,974.125,2224.25,2733.333,2322.375,1829.333,1506.438,1527.5,1179.125,2319.062,2066.333,1148.529,1127.875,1467.3,1143.833,1470.778,1256,1167.8,1319.667,1151.333,1033.556,1189.5,1245.556,2095.5,1440.75,1316,1453.692,1395.889,1267,2016,1155.75,1181.55,1199.667,915.5,666.583,923.75,2240.667,1331.625,1284.5,1121.75,997.333,1134.75,1008,1015.75,1987,1057.269,1075.625,994.6,975.25,812.4,1555.667,1027.5,1600,1470.667,1738.5,1536,1495.167,1461,1711.833,1540.167,1492.75,858.833,1747.5,1537.25,1561,1350.5,1127.25,1465.417,1328.25,925.5,1520.833,1282,1085,1304.889,1591.833,926.667,1590.375,1361.125,3080.5,2184,1684.167,1322.125,2374.55,1306.333,1680
156,1855,1515.444,2392.9,2247.333,1119.667,930.583,2421.833,1116.375,1042.25,1783.667,1422.75,650.091,1657.167,1356.6,708.5,1148.375,959.062,2213.875,2813.667,2309.875,1744.333,1509,1552.833,1202.625,2293.25,2014.833,1170.823,1179.5,1504.5,1176.833,1521.556,1260.333,1172.5,1353,1148.333,1008.667,1130.5,1293.667,2129.25,1426.625,1320.444,1446.923,1430.444,1296.625,1964.5,1156.25,1173.05,1210.667,953.75,678.417,919.75,2281.5,1307.562,1303.5,1141.5,958.167,1128,1036.667,1007.25,1949.167,1080.077,1071.375,1026.9,1006.938,787.8,1502.167,1031.833,1563,1489.833,1821,1644.333,1505.833,1489,1729.833,1491.167,1453.5,843.333,1765.167,1531.125,1595.222,1359.833,1084.5,1489.667,1348.25,958.25,1575.833,1292.75,1076.833,1318.111,1569.5,880.667,1546.625,1323.5,3065.167,2233,1618.5,1294,2334.05,1305.667,1669
157,1855.875,1494.667,2389.9,2197.833,1118.833,951.25,2444.333,1150.375,1047,1752.667,1514.75,677,1648.833,1256,720.083,1141.125,950.938,2290.875,2794.333,2396.5,1821.333,1475.812,1614,1243.125,2287.562,2037.667,1157.529,1146.25,1485.9,1230.167,1451.889,1225.833,1126.5,1278.222,1152.889,1019.889,1102.25,1244.444,2126.75,1411.5,1286.111,1450.115,1400.333,1273.875,2028.25,1137,1177.9,1169.778,984.75,660.083,939.5,2279.333,1317.25,1311.25,1169.375,948,1090.5,1028.333,969.25,1939.917,1092.192,1027.375,1005.7,1001.25,781.2,1554.167,1072.167,1625.75,1424.167,1682.5,1676.333,1478.833,1507.375,1638.667,1564.333,1526.875,856.667,1727.667,1538.625,1613,1350.167,1165.5,1507,1309.625,890.5,1511.5,1298.875,1109.167,1297.222,1590.5,916,1570.625,1350.125,3007.167,2163.75,1676.667,1340.75,2318.5,1252,1778.5
158,1872.125,1486.889,2357.5,2209.333,1159.333,967.917,2407.333,1145.25,1085.75,1780.833,1412.5,641.727,1651.083,1376,724.458,1168.5,944.375,2284.125,2842.5,2314.5,1836.667,1475.812,1511.5,1169.75,2309.312,2054.333,1183.118,1147.625,1504.8,1154.833,1499.222,1206.833,1159.4,1351.222,1133.222,991.444,1129.75,1275.889,2109.833,1392.625,1310.333,1456.115,1420.778,1269.375,2018.5,1187.75,1167.95,1180.778,966.75,643.667,936.25,2264.167,1328.562,1310.25,1193.875,987.167,1096.375,1035.667,1003.75,1945.167,1067.269,1043.125,1008.9,967.375,777.9,1520.5,1004.833,1601.25,1483.583,1761.375,1604.333,1441.167,1479.625,1692.5,1555.167,1568.125,903.333,1764,1508.75,1623.889,1435.833,1050.75,1428.917,1314.75,978,1515.5,1247.5,1071.333,1327.444,1553.5,899.333,1571.375,1365.625,2982.333,2201.75,1716.667,1367.25,2336.2,1253.333,1736.9
159,1820.25,1436.778,2354.2,2192.667,1144.5,933.333,2427,1097.875,1089.625,1760.667,1449.75,674.182,1661.75,1329,722.417,1129.875,967.438,2253.875,2818.167,2336.75,1779.667,1529.188,1515,1187.5,2283.125,2102.083,1162.529,1141.75,1493.4,1179.167,1462.333,1236.667,1180.7,1341.333,1139.667,1050.778,1117,1290.111,2077.583,1427.5,1275.778,1429,1418.333,1251.5,1935.75,1164.125,1167.05,1202.111,929.125,653.833,921.75,2262.167,1325.25,1288.5,1186.25,986,1124.875,991.833,1031.5,1921.75,1087.808,1055.875,995.1,1008.938,828.5,1541.833,1018.333,1581.375,1463.583,1757.5,1562.667,1456.667,1531.125,1718.333,1532.833,1451.125,897.333,1715.5,1540,1584.667,1356.667,1067.25,1415.667,1393.375,900.5,1578.5,1258.25,1040.333,1327.667,1602.167,853.833,1557.5,1348.375,3000.75,2160.417,1671.5,1292.875,2333.9,1267.333,1664.1
